site_id,date,discharge_lag1,discharge_lag2,discharge_lag3,discharge_roll_mean_3,discharge_roll_mean_7,discharge_diff_1,month,threshold,discharge_next_day,target
01646500,2018-01-07,1320.0,1230.0,1870.0,1436.6666666666667,1582.857142857143,440.0,1,28540.000000000007,1920.0,0.0
01646500,2018-01-08,1760.0,1320.0,1230.0,1666.6666666666667,1625.7142857142858,160.0,1,28540.000000000007,2090.0,0.0
01646500,2018-01-09,1920.0,1760.0,1320.0,1923.3333333333333,1695.7142857142858,170.0,1,28540.000000000007,1970.0,0.0
01646500,2018-01-10,2090.0,1920.0,1760.0,1993.3333333333333,1737.142857142857,-120.0,1,28540.000000000007,2040.0,0.0
01646500,2018-01-11,1970.0,2090.0,1920.0,2033.3333333333333,1761.4285714285713,70.0,1,28540.000000000007,2400.0,0.0
01646500,2018-01-12,2040.0,1970.0,2090.0,2136.6666666666665,1928.5714285714287,360.0,1,28540.000000000007,5800.0,0.0
01646500,2018-01-13,2400.0,2040.0,1970.0,3413.3333333333335,2568.5714285714284,3400.0,1,28540.000000000007,10900.0,0.0
01646500,2018-01-14,5800.0,2400.0,2040.0,6366.666666666667,3874.285714285714,5100.0,1,28540.000000000007,9960.0,0.0
01646500,2018-01-15,10900.0,5800.0,2400.0,8886.666666666666,5022.857142857143,-940.0,1,28540.000000000007,11500.0,0.0
01646500,2018-01-16,9960.0,10900.0,5800.0,10786.666666666666,6367.142857142857,1540.0,1,28540.000000000007,10700.0,0.0
01646500,2018-01-17,11500.0,9960.0,10900.0,10720.0,7614.285714285715,-800.0,1,28540.000000000007,9990.0,0.0
01646500,2018-01-18,10700.0,11500.0,9960.0,10730.0,8750.0,-710.0,1,28540.000000000007,7610.0,0.0
01646500,2018-01-19,9990.0,10700.0,11500.0,9433.333333333334,9494.285714285714,-2380.0,1,28540.000000000007,7060.0,0.0
01646500,2018-01-20,7610.0,9990.0,10700.0,8220.0,9674.285714285714,-550.0,1,28540.000000000007,6740.0,0.0
01646500,2018-01-21,7060.0,7610.0,9990.0,7136.666666666667,9080.0,-320.0,1,28540.000000000007,5980.0,0.0
01646500,2018-01-22,6740.0,7060.0,7610.0,6593.333333333333,8511.42857142857,-760.0,1,28540.000000000007,5770.0,0.0
01646500,2018-01-23,5980.0,6740.0,7060.0,6163.333333333333,7692.857142857143,-210.0,1,28540.000000000007,10100.0,0.0
01646500,2018-01-24,5770.0,5980.0,6740.0,7283.333333333333,7607.142857142857,4330.0,1,28540.000000000007,12600.0,0.0
01646500,2018-01-25,10100.0,5770.0,5980.0,9490.0,7980.0,2500.0,1,28540.000000000007,10600.0,0.0
01646500,2018-01-26,12600.0,10100.0,5770.0,11100.0,8407.142857142857,-2000.0,1,28540.000000000007,8690.0,0.0
01646500,2018-01-27,10600.0,12600.0,10100.0,10630.0,8640.0,-1910.0,1,28540.000000000007,7640.0,0.0
01646500,2018-01-28,8690.0,10600.0,12600.0,8976.666666666666,8768.57142857143,-1050.0,1,28540.000000000007,7120.0,0.0
01646500,2018-01-29,7640.0,8690.0,10600.0,7816.666666666667,8931.42857142857,-520.0,1,28540.000000000007,6750.0,0.0
01646500,2018-01-30,7120.0,7640.0,8690.0,7170.0,9071.42857142857,-370.0,1,28540.000000000007,6410.0,0.0
01646500,2018-01-31,6750.0,7120.0,7640.0,6760.0,8544.285714285714,-340.0,1,28540.000000000007,6040.0,0.0
01646500,2018-02-01,6410.0,6750.0,7120.0,6400.0,7607.142857142857,-370.0,2,28540.000000000007,5770.0,0.0
01646500,2018-02-02,6040.0,6410.0,6750.0,6073.333333333333,6917.142857142857,-270.0,2,28540.000000000007,5610.0,0.0
01646500,2018-02-03,5770.0,6040.0,6410.0,5806.666666666667,6477.142857142857,-160.0,2,28540.000000000007,5880.0,0.0
01646500,2018-02-04,5610.0,5770.0,6040.0,5753.333333333333,6225.714285714285,270.0,2,28540.000000000007,7590.0,0.0
01646500,2018-02-05,5880.0,5610.0,5770.0,6360.0,6292.857142857143,1710.0,2,28540.000000000007,7450.0,0.0
01646500,2018-02-06,7590.0,5880.0,5610.0,6973.333333333333,6392.857142857143,-140.0,2,28540.000000000007,7650.0,0.0
01646500,2018-02-07,7450.0,7590.0,5880.0,7563.333333333333,6570.0,200.0,2,28540.000000000007,10600.0,0.0
01646500,2018-02-08,7650.0,7450.0,7590.0,8566.666666666666,7221.428571428572,2950.0,2,28540.000000000007,13200.0,0.0
01646500,2018-02-09,10600.0,7650.0,7450.0,10483.333333333334,8282.857142857143,2600.0,2,28540.000000000007,15900.0,0.0
01646500,2018-02-10,13200.0,10600.0,7650.0,13233.333333333334,9752.857142857143,2700.0,2,28540.000000000007,19800.0,0.0
01646500,2018-02-11,15900.0,13200.0,10600.0,16300.0,11741.42857142857,3900.0,2,28540.000000000007,24300.0,0.0
01646500,2018-02-12,19800.0,15900.0,13200.0,20000.0,14128.57142857143,4500.0,2,28540.000000000007,30300.0,1.0
01646500,2018-02-13,24300.0,19800.0,15900.0,24800.0,17392.85714285714,6000.0,2,28540.000000000007,29600.0,1.0
01646500,2018-02-14,30300.0,24300.0,19800.0,28066.666666666668,20528.571428571428,-700.0,2,28540.000000000007,25200.0,0.0
01646500,2018-02-15,29600.0,30300.0,24300.0,28366.666666666668,22614.285714285714,-4400.0,2,28540.000000000007,21100.0,0.0
01646500,2018-02-16,25200.0,29600.0,30300.0,25300.0,23742.85714285714,-4100.0,2,28540.000000000007,23600.0,0.0
01646500,2018-02-17,21100.0,25200.0,29600.0,23300.0,24842.85714285714,2500.0,2,28540.000000000007,31600.0,1.0
01646500,2018-02-18,23600.0,21100.0,25200.0,25433.333333333332,26528.571428571428,8000.0,2,28540.000000000007,30600.0,1.0
01646500,2018-02-19,31600.0,23600.0,21100.0,28600.0,27428.571428571428,-1000.0,2,28540.000000000007,27200.0,0.0
01646500,2018-02-20,30600.0,31600.0,23600.0,29800.0,26985.714285714286,-3400.0,2,28540.000000000007,23700.0,0.0
01646500,2018-02-21,27200.0,30600.0,31600.0,27166.666666666668,26142.85714285714,-3500.0,2,28540.000000000007,21000.0,0.0
01646500,2018-02-22,23700.0,27200.0,30600.0,23966.666666666668,25542.85714285714,-2700.0,2,28540.000000000007,19100.0,0.0
01646500,2018-02-23,21000.0,23700.0,27200.0,21266.666666666668,25257.14285714286,-1900.0,2,28540.000000000007,18900.0,0.0
01646500,2018-02-24,19100.0,21000.0,23700.0,19666.666666666668,24585.714285714286,-200.0,2,28540.000000000007,19800.0,0.0
01646500,2018-02-25,18900.0,19100.0,21000.0,19266.666666666668,22900.0,900.0,2,28540.000000000007,28600.0,1.0
01646500,2018-02-26,19800.0,18900.0,19100.0,22433.333333333332,22614.285714285714,8800.0,2,28540.000000000007,39500.0,1.0
01646500,2018-02-27,28600.0,19800.0,18900.0,29300.0,24371.428571428572,10900.0,2,28540.000000000007,34100.0,1.0
01646500,2018-02-28,39500.0,28600.0,19800.0,34066.666666666664,25857.14285714286,-5400.0,2,28540.000000000007,27200.0,0.0
01646500,2018-03-01,34100.0,39500.0,28600.0,33600.0,26742.85714285714,-6900.0,3,28540.000000000007,22900.0,0.0
01646500,2018-03-02,27200.0,34100.0,39500.0,28066.666666666668,27285.714285714286,-4300.0,3,28540.000000000007,23700.0,0.0
01646500,2018-03-03,22900.0,27200.0,34100.0,24600.0,27971.428571428572,800.0,3,28540.000000000007,21300.0,0.0
01646500,2018-03-04,23700.0,22900.0,27200.0,22633.333333333332,28185.714285714286,-2400.0,3,28540.000000000007,18400.0,0.0
01646500,2018-03-05,21300.0,23700.0,22900.0,21133.333333333332,26728.571428571428,-2900.0,3,28540.000000000007,15600.0,0.0
01646500,2018-03-06,18400.0,21300.0,23700.0,18433.333333333332,23314.285714285714,-2800.0,3,28540.000000000007,14000.0,0.0
01646500,2018-03-07,15600.0,18400.0,21300.0,16000.0,20442.85714285714,-1600.0,3,28540.000000000007,12900.0,0.0
01646500,2018-03-08,14000.0,15600.0,18400.0,14166.666666666666,18400.0,-1100.0,3,28540.000000000007,12000.0,0.0
01646500,2018-03-09,12900.0,14000.0,15600.0,12966.666666666666,16842.85714285714,-900.0,3,28540.000000000007,11100.0,0.0
01646500,2018-03-10,12000.0,12900.0,14000.0,12000.0,15042.857142857143,-900.0,3,28540.000000000007,10100.0,0.0
01646500,2018-03-11,11100.0,12000.0,12900.0,11066.666666666666,13442.857142857143,-1000.0,3,28540.000000000007,9000.0,0.0
01646500,2018-03-12,10100.0,11100.0,12000.0,10066.666666666666,12100.0,-1100.0,3,28540.000000000007,8260.0,0.0
01646500,2018-03-13,9000.0,10100.0,11100.0,9120.0,11051.42857142857,-740.0,3,28540.000000000007,7760.0,0.0
01646500,2018-03-14,8260.0,9000.0,10100.0,8340.0,10160.0,-500.0,3,28540.000000000007,7240.0,0.0
01646500,2018-03-15,7760.0,8260.0,9000.0,7753.333333333333,9351.42857142857,-520.0,3,28540.000000000007,6800.0,0.0
01646500,2018-03-16,7240.0,7760.0,8260.0,7266.666666666667,8608.57142857143,-440.0,3,28540.000000000007,6540.0,0.0
01646500,2018-03-17,6800.0,7240.0,7760.0,6860.0,7957.142857142857,-260.0,3,28540.000000000007,6180.0,0.0
01646500,2018-03-18,6540.0,6800.0,7240.0,6506.666666666667,7397.142857142857,-360.0,3,28540.000000000007,5770.0,0.0
01646500,2018-03-19,6180.0,6540.0,6800.0,6163.333333333333,6935.714285714285,-410.0,3,28540.000000000007,5910.0,0.0
01646500,2018-03-20,5770.0,6180.0,6540.0,5953.333333333333,6600.0,140.0,3,28540.000000000007,6540.0,0.0
01646500,2018-03-21,5910.0,5770.0,6180.0,6073.333333333333,6425.714285714285,630.0,3,28540.000000000007,6670.0,0.0
01646500,2018-03-22,6540.0,5910.0,5770.0,6373.333333333333,6344.285714285715,130.0,3,28540.000000000007,6990.0,0.0
01646500,2018-03-23,6670.0,6540.0,5910.0,6733.333333333333,6371.428571428572,320.0,3,28540.000000000007,7370.0,0.0
01646500,2018-03-24,6990.0,6670.0,6540.0,7010.0,6490.0,380.0,3,28540.000000000007,8760.0,0.0
01646500,2018-03-25,7370.0,6990.0,6670.0,7706.666666666667,6858.571428571428,1390.0,3,28540.000000000007,10200.0,0.0
01646500,2018-03-26,8760.0,7370.0,6990.0,8776.666666666666,7491.428571428572,1440.0,3,28540.000000000007,11400.0,0.0
01646500,2018-03-27,10200.0,8760.0,7370.0,10120.0,8275.714285714286,1200.0,3,28540.000000000007,12400.0,0.0
01646500,2018-03-28,11400.0,10200.0,8760.0,11333.333333333334,9112.857142857143,1000.0,3,28540.000000000007,13000.0,0.0
01646500,2018-03-29,12400.0,11400.0,10200.0,12266.666666666666,10017.142857142857,600.0,3,28540.000000000007,16000.0,0.0
01646500,2018-03-30,13000.0,12400.0,11400.0,13800.0,11304.285714285714,3000.0,3,28540.000000000007,22600.0,0.0
01646500,2018-03-31,16000.0,13000.0,12400.0,17200.0,13480.0,6600.0,3,28540.000000000007,23200.0,0.0
01646500,2018-04-01,22600.0,16000.0,13000.0,20600.0,15542.857142857143,600.0,4,28540.000000000007,19700.0,0.0
01646500,2018-04-02,23200.0,22600.0,16000.0,21833.333333333332,16900.0,-3500.0,4,28540.000000000007,18000.0,0.0
01646500,2018-04-03,19700.0,23200.0,22600.0,20300.0,17842.85714285714,-1700.0,4,28540.000000000007,22100.0,0.0
01646500,2018-04-04,18000.0,19700.0,23200.0,19933.333333333332,19228.571428571428,4100.0,4,28540.000000000007,33300.0,1.0
01646500,2018-04-05,22100.0,18000.0,19700.0,24466.666666666668,22128.571428571428,11200.0,4,28540.000000000007,30700.0,1.0
01646500,2018-04-06,33300.0,22100.0,18000.0,28700.0,24228.571428571428,-2600.0,4,28540.000000000007,24400.0,0.0
01646500,2018-04-07,30700.0,33300.0,22100.0,29466.666666666668,24485.714285714286,-6300.0,4,28540.000000000007,19400.0,0.0
01646500,2018-04-08,24400.0,30700.0,33300.0,24833.333333333332,23942.85714285714,-5000.0,4,28540.000000000007,16000.0,0.0
01646500,2018-04-09,19400.0,24400.0,30700.0,19933.333333333332,23414.285714285714,-3400.0,4,28540.000000000007,14100.0,0.0
01646500,2018-04-10,16000.0,19400.0,24400.0,16500.0,22857.14285714286,-1900.0,4,28540.000000000007,12500.0,0.0
01646500,2018-04-11,14100.0,16000.0,19400.0,14200.0,21485.714285714286,-1600.0,4,28540.000000000007,11300.0,0.0
01646500,2018-04-12,12500.0,14100.0,16000.0,12633.333333333334,18342.85714285714,-1200.0,4,28540.000000000007,10100.0,0.0
01646500,2018-04-13,11300.0,12500.0,14100.0,11300.0,15400.0,-1200.0,4,28540.000000000007,9240.0,0.0
01646500,2018-04-14,10100.0,11300.0,12500.0,10213.333333333334,13234.285714285714,-860.0,4,28540.000000000007,8510.0,0.0
01646500,2018-04-15,9240.0,10100.0,11300.0,9283.333333333334,11678.57142857143,-730.0,4,28540.000000000007,17800.0,0.0
01646500,2018-04-16,8510.0,9240.0,10100.0,11850.0,11935.714285714286,9290.0,4,28540.000000000007,40100.0,1.0
01646500,2018-04-17,17800.0,8510.0,9240.0,22136.666666666668,15650.0,22300.0,4,28540.000000000007,73200.0,1.0
01646500,2018-04-18,40100.0,17800.0,8510.0,43700.0,24321.428571428572,33100.0,4,28540.000000000007,52300.0,1.0
01646500,2018-04-19,73200.0,40100.0,17800.0,55200.0,30178.571428571428,-20900.0,4,28540.000000000007,35700.0,1.0
01646500,2018-04-20,52300.0,73200.0,40100.0,53733.333333333336,33835.71428571428,-16600.0,4,28540.000000000007,27500.0,0.0
